Time,DER468_mag,DER468_loc
1672531200,0,tlx_611_c_h_30
1672531230,5000,tlx_611_c_h_30
1672531260,0,tlx_611_c_h_30
1672531290,0,tlx_611_c_h_30
1672531320,0,tlx_611_c_h_30
1672531350,0,tlx_611_c_h_30
1672531380,0,tlx_611_c_h_30
1672531410,0,tlx_611_c_h_30
1672531440,0,tlx_611_c_h_30
1672531470,0,tlx_611_c_h_30
1672531500,4487,tlx_611_c_h_30
1672531530,4488,tlx_611_c_h_30
1672531560,4492,tlx_611_c_h_30
1672531590,4493,tlx_611_c_h_30
1672531620,4495,tlx_611_c_h_30
1672531650,4493,tlx_611_c_h_30
1672531680,4492,tlx_611_c_h_30
1672531710,0,tlx_611_c_h_30
1672531740,0,tlx_611_c_h_30
1672531770,0,tlx_611_c_h_30
