Time,DER165_mag,DER165_loc
1672531200,0,tlx_692_b_h_38
1672531230,5000,tlx_692_b_h_38
1672531260,0,tlx_692_b_h_38
1672531290,4485,tlx_692_b_h_38
1672531320,4486,tlx_692_b_h_38
1672531350,4489,tlx_692_b_h_38
1672531380,4492,tlx_692_b_h_38
1672531410,4497,tlx_692_b_h_38
1672531440,4494,tlx_692_b_h_38
1672531470,4499,tlx_692_b_h_38
1672531500,4497,tlx_692_b_h_38
1672531530,4498,tlx_692_b_h_38
1672531560,4495,tlx_692_b_h_38
1672531590,4493,tlx_692_b_h_38
1672531620,4490,tlx_692_b_h_38
1672531650,4489,tlx_692_b_h_38
1672531680,4490,tlx_692_b_h_38
1672531710,4496,tlx_692_b_h_38
1672531740,4497,tlx_692_b_h_38
1672531770,4498,tlx_692_b_h_38
