Time,DER330_mag,DER330_loc
1672531200,0,tlx_675_c_h_14
1672531230,5000,tlx_675_c_h_14
1672531260,0,tlx_675_c_h_14
1672531290,0,tlx_675_c_h_14
1672531320,0,tlx_675_c_h_14
1672531350,0,tlx_675_c_h_14
1672531380,4491,tlx_675_c_h_14
1672531410,4493,tlx_675_c_h_14
1672531440,4494,tlx_675_c_h_14
1672531470,4491,tlx_675_c_h_14
1672531500,4486,tlx_675_c_h_14
1672531530,0,tlx_675_c_h_14
1672531560,0,tlx_675_c_h_14
1672531590,0,tlx_675_c_h_14
1672531620,0,tlx_675_c_h_14
1672531650,0,tlx_675_c_h_14
1672531680,0,tlx_675_c_h_14
1672531710,0,tlx_675_c_h_14
1672531740,0,tlx_675_c_h_14
1672531770,0,tlx_675_c_h_14
