Time,DER795_mag,DER795_loc
1672531200,4501,tlx_671_a_h_7
1672531230,5000,tlx_671_a_h_7
1672531260,4489,tlx_671_a_h_7
1672531290,4484,tlx_671_a_h_7
1672531320,4482,tlx_671_a_h_7
1672531350,4488,tlx_671_a_h_7
1672531380,4492,tlx_671_a_h_7
1672531410,4499,tlx_671_a_h_7
1672531440,4498,tlx_671_a_h_7
1672531470,4505,tlx_671_a_h_7
1672531500,4502,tlx_671_a_h_7
1672531530,0,tlx_671_a_h_7
1672531560,0,tlx_671_a_h_7
1672531590,0,tlx_671_a_h_7
1672531620,0,tlx_671_a_h_7
1672531650,0,tlx_671_a_h_7
1672531680,0,tlx_671_a_h_7
1672531710,0,tlx_671_a_h_7
1672531740,0,tlx_671_a_h_7
1672531770,0,tlx_671_a_h_7
